OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,x,y
133,Teterboro-Williams Ave,Bergen,40.86489,-74.06265,147,System.Byte[],PV,STATIONS,Hasbrouck Heights,PV,NO,613081.284510676,740276.122033522
134,Wood-Ridge,Bergen,40.84387,-74.07879,160,System.Byte[],PV,STATIONS,Wood-Ridge,PV,NO,608654.193955425,732596.656749442
135,Metropark,Middlesex,40.56858,-74.32933,84,System.Byte[],NE,STATIONS,Woodbridge Twp,NE,YES,539535.568085343,632074.760352693
136,Metuchen,Middlesex,40.54077,-74.36042,85,System.Byte[],NE,STATIONS,Metuchen,NE,YES,530917.19030901,621931.363972858
137,Edison,Middlesex,40.51915,-74.41097,38,System.Byte[],NE,STATIONS,Edison Twp,NE,YES,516874.878170591,614036.110406443
138,New Brunswick,Middlesex,40.49732,-74.44565,104,System.Byte[],NE,STATIONS,New Brunswick,NE,YES,507238.482089091,606076.511496276
139,Jersey Avenue,Middlesex,40.4769,-74.46733,64,System.Byte[],NE,STATIONS,New Brunswick,NE,NO,501213.228719678,598636.056560941
140,Princeton Jct.,Mercer,40.31632,-74.62375,126,System.Byte[],NE,STATIONS,West Windsor Twp,"NE, PRIN",YES,457618.489137676,540160.405139774
141,Princeton,Mercer,40.34209,-74.65887,125,System.Byte[],PRIN,STATIONS,Princeton,PRIN,YES,447841.848914094,549565.777733192
142,Trenton,Mercer,40.21852,-74.75392,149,System.Byte[],NE,STATIONS,Trenton,NE,YES,421220.885423843,504612.259700775
143,Hamilton,Mercer,40.25531,-74.70412,RAIL0163,System.Byte[],NE,STATIONS,Hamilton Twp,NE,YES,435157.159388509,517978.645041443
144,Manasquan,Monmouth,40.12062,-74.04764,79,System.Byte[],NC,STATIONS,Manasquan,NC,NO,618622.85052726,469173.845997691
145,Kingsland,Bergen,40.81009,-74.11729,66,System.Byte[],ML,STATIONS,Lyndhurst Twp,ML,NO,598057.047170758,720243.922596693
146,Roselle Park,Union,40.66711,-74.2664,31,System.Byte[],LV,STATIONS,Roselle Park,RV,NO,556922.765266258,668008.514600523
147,Salisbury Mills-Cornwall,"Orange, NY",41.43708,-74.10187,136,System.Byte[],ST,STATIONS,"Cornwall, Town Of",ST,YES,601282.336651925,948688.116626024
148,Campbell Hall,"Orange, NY",41.45103,-74.2664,26,System.Byte[],ST,STATIONS,"Hamptonburgh, Town Of",ST,YES,556159.696254343,953605.445374027
149,Middletown,"Orange, NY",41.45734,-74.37036,87,System.Byte[],ST,STATIONS,"Wallkill, Town Of",ST,YES,527658.74013301,955844.328363441
150,Otisville,"Orange, NY",41.47176,-74.52923,114,System.Byte[],ST,STATIONS,"Mt Hope, Town Of",ST,NO,484116.511600841,961073.692904688
151,Port Jervis,"Orange, NY",41.37461,-74.69511,124,System.Byte[],ST,STATIONS,Port Jervis,ST,NO,438579.12104851,925737.584771276
152,Sloatsburg,"Rockland, NY",41.15715,-74.19107,138,System.Byte[],ST,STATIONS,Sloatsburg,ST,NO,577188.67749026,846600.917257525
153,Tuxedo,"Orange, NY",41.19419,-74.18511,150,System.Byte[],ST,STATIONS,"Tuxedo, Town Of",ST,NO,578782.301599592,860100.477200605
154,Harriman,"Orange, NY",41.29338,-74.14002,55,System.Byte[],ST,STATIONS,"Woodbury, Town Of",ST,YES,591039.756415341,896284.861196525
155,Annandale,Hunterdon,40.64517,-74.87852,6,System.Byte[],RV,STATIONS,Clinton Twp,RV,NO,387091.500598758,660158.77767536
156,Rte 17 Ramsey,Bergen,41.07505,-74.14549,RAIL0170,System.Byte[],ML,STATIONS,Ramsey,"ML, BC",YES,589862.229242843,816737.387089692
157,Union,Union,40.68377,-74.23843,RAIL0166,System.Byte[],LV,STATIONS,Union Twp,RV,YES,564663.388892591,674100.703859694
158,Montclair St Univ,Essex,40.86978,-74.19743,RAIL0165,System.Byte[],MC,STATIONS,Little Falls Twp,MC,YES,575799.076594926,741902.150277525
159,Secaucus Junction Upper Level,Hudson,40.76119,-74.07582,RAIL0168,System.Byte[],NE,STATIONS,Secaucus,"NE, NC, RV, ME, GL, MC",YES,609623.412489425,702480.934828773
160,Woodcliff Lake,Bergen,41.02108,-74.04077,160,System.Byte[],PV,STATIONS,Woodcliff Lake,PV,NO,618834.398988675,797208.711252108
161,Hoboken Terminal,Hudson,40.73485,-74.02804,62,System.Byte[],ME,STATIONS,Hoboken,"ME, GL, MC, ML, BC, PV, SL",YES,622909.883947928,692950.81248486
162,Wayne Route 23 Transit Center,Passaic,40.90026,-74.25697,RAIL0172,System.Byte[],MC,STATIONS,Wayne Twp,MC,YES,559302.582357008,752955.149168856
163,Mt Arlington,Morris,40.89659,-74.63273,RAIL0171,System.Byte[],ME,STATIONS,Mt Arlington,"ME, MC",YES,455433.011225175,751550.943315856
164,Meadowlands Rail Station,Bergen,40.81302,-74.07205,RAIL0174,System.Byte[],SL,STATIONS,East Rutherford,SL,YES,610575.109733008,721367.790099606
165,Pennsauken Transit Center,Camden,39.97777,-75.06179,RAIL0183,System.Byte[],AC,STATIONS,Pennsauken Twp,AC,YES,334695.835049093,417313.859494776
166,Secaucus Junction Lower Level,Hudson,40.76119,-74.07582,RAIL0167,System.Byte[],ML,STATIONS,Secaucus,"ML, BC, PV",YES,609623.412489425,702480.934828773
167,Wesmont,Bergen,40.85498,-74.09695,43599,System.Byte[],BC,STATIONS,Wood-Ridge,BC,YES,603612.264734842,736619.244504772
